firm_name,n_offres,sector_main,avg_req_exp,avg_wage,addr_dept_main,top_skill_req
OUEST FRANCE,3,"Communication, Internet",0,,35,"équipe, Collaboration"
KPMG,15,"ESN, Secteur informatique",0.428571428571429,,92,"équipe, Excel"
AGH Consulting,4,"Industrie high-tech, Telecom",7,,92,"Communication, équipe"
Sodebo,1,Industrie Agro-alimentaire,1,,85,"équipe, Statistique"
TRSB,4,"ESN, Secteur informatique",7,,75,"Anglais, AWS"
Lynx RH,1,Services aux Entreprises,,,49,"Autonome, Autonôme"
OVHCloud,1,"ESN, Secteur informatique",,,59,"Anglais, équipe"
HR Team,3,"ESN, Secteur informatique",1,42500,44,"équipe, Python"
Altelios Technology Group,11,"ESN, Secteur informatique",4,47722.2222222222,92,"équipe, AWS"
U IRIS,2,"ESN, Secteur informatique",1,45000,44,"Collaboration, équipe"
Assurant,1,"Assurance, Banque",0,,13,"Communication, équipe"
Brittany Ferries,1,"Hôtellerie, Loisirs",1,,29,"équipe, Prévision"
Edenred,2,Services aux Entreprises,,,92,Git
HelloFresh,2,"Commerce de gros, Distribution",1,,75,"Python, SQL"
Aubay,3,"ESN, Secteur informatique",1,,75,"équipe, Collaboration"
Bureau Veritas,3,"ESN, Secteur informatique",0,,69,"Communication, Anglais"
Orange Business,7,"ESN, Secteur informatique",2,,13,"équipe, Tableau"
iziwork,3,Services aux Entreprises,,44166.6666666667,44,"Anglais, Excel"
Michael Page,12,Services aux Entreprises,0,56450,92,"équipe, SQL"
CAFPI,1,"Assurance, Banque",0,,64,"équipe, Git"
Kelly Services,1,"Biotechn., Chimie",1,,91,"Anglais, Collaboration"
Hays,9,"ESN, Secteur informatique",0.888888888888889,44937.5,31,"équipe, Bases de donnée"
BPCE SA,13,"Assurance, Banque",7,,75,"équipe, Python"
Michelin,5,Industrie Manufacturière,0,2136,63,"équipe, Deep Learning"
Unibail-Rodamco-Westfield,2,Immobilier,,,75,"Collaboration, Communication"
Tortoise,1,"ESN, Secteur informatique",,,75,"Base de donnée, équipe"
Artefact,7,"ESN, Secteur informatique",0.333333333333333,,75,"Excel, Git"
ALSTOM,5,"Environnement, Secteur Energie",,,41,"Python, Attention to Detail"
SOMFY Group,3,"Industrie high-tech, Telecom",,,74,"Anglais, équipe"
LCL,6,"Assurance, Banque",0.333333333333333,,94,"équipe, Collaboration"
Inventing for Life,1,"Biotechn., Chimie",,,75,"AWS, Collaboration"
PriceHubble,7,"ESN, Immobilier",,,75,"English, Python"
Orthogrid systems,2,"ESN, Secteur informatique",,,67,"Deep Learning, C++"
Mirakl,6,"Communication, ESN",,,33,"Deep Learning, AWS"
Mane,2,"Industrie Pétrolière, Pétrochimie",,,6,"Anglais, Autonome"
Meritis,3,"ESN, Secteur informatique",,,75,"équipe, Optimisation"
Descartes Underwriting,11,"Assurance, Banque",0,,75,"Communication, English"
CNP Assurances,6,"Assurance, Banque",0.666666666666667,,92,"Deep Learning, équipe"
Equativ,4,"ESN, Secteur informatique",,,75,"Deep Learning, Excel"
Manutan,2,"Communication, Internet",,,95,"Deep Learning, équipe"
Withings,4,"Commerce de gros, Distribution",0,,92,"Anglais, Communication"
veepee_france,1,"Commerce de gros, Distribution",,,75,"AWS, Dataviz"
Onepoint,10,"ESN, Secteur informatique",0,,75,"Anglais, équipe"
stages,3,Services aux Entreprises,0.333333333333333,9636,92,"équipe, modélisation"
CLS,2,"Industrie high-tech, Telecom",0,,31,"Deep Learning, équipe"
Believe,2,"Communication, Internet",7,,75,"Anglais, AWS"
Free,6,"Communication, Internet",0,44000,75,"équipe, Communication"
Chanel,3,Industrie Manufacturière,,,75,"Deep Learning, Anglais"
Stereolabs,4,"ESN, Secteur informatique",,,75,"Deep Learning, équipe"
Ubisoft,3,"ESN, Secteur informatique",0,,75,"équipe, Python"
PSA Retail France SAS,3,"Commerce de gros, Distribution",0,,78,"Collaboration, Communication"
Cardiologs,2,"ESN, Secteur informatique",0,,75,"Deep Learning, Artificial intelligence"
Polyconseil,4,"ESN, Secteur informatique",0,,75,"AWS, équipe"
Botify,2,Services aux Entreprises,,,75,"Collaboration, Communication"
Pernod Ricard,9,Industrie Agro-alimentaire,,,75,"Git, Python"
Air Liquide,9,"Industrie Pétrolière, Pétrochimie",0,,75,"Git, Anglais"
Kering,1,"Commerce de gros, Distribution",,,75,"Curious, Database"
Hello Watt,1,"Environnement, Secteur Energie",0,,75,"équipe, Rapport"
Lesaffre,3,Industrie Agro-alimentaire,,,59,"Deep Learning, Communication"
Back Market,4,"Communication, Internet",0,,75,"English, French"
Aircall,2,"ESN, Secteur informatique",0,,75,"Autonomous, Communication"
Devoteam,3,"ESN, Secteur informatique",,,92,"équipe, Git"
Iliad,3,"Communication, Industrie high-tech",0,,75,"équipe, Collaboration"
Andrice,1,Services aux Entreprises,7,,69,"AWS, Azure"
Danone,5,Industrie Agro-alimentaire,0,,75,"équipe, Excel"
Matmut,2,"Assurance, Banque",1,,76,"Deep Learning, Excel"
Adikteev,4,"ESN, Secteur informatique",,,75,"Communication, Creativity"
Adoc Talent Management,1,Services aux Entreprises,,,75,"Anglais, Azure"
Certideal,2,"Commerce de gros, Distribution",0,,92,"équipe, French"
HSBC,2,"Assurance, Banque",,,92,"Anglais, Autonome"
Showroomprivé,1,"Communication, Internet",0,,93,"Curiosité, équipe"
GroupM,1,"Communication, Internet",,,75,"Anglais, Base de donnée"
Datawords,1,"ESN, Secteur informatique",,,92,"équipe, Git"
Neoxia,2,"ESN, Secteur informatique",,,75,"Deep Learning, Git"
Boulanger,1,"Commerce de gros, Distribution",7,52500,59,"équipe, Reporting"
Criteo,2,"Communication, Internet",,,75,"Communication, Communication Skills"
Alma,1,"Assurance, Banque",,,75,"Collaboration, Communication"
Meetic,1,"Communication, Internet",,,75,Deep Learning
Christian Dior,2,Industrie Manufacturière,7,,92,Deep Learning
Meilleurtaux,1,"Assurance, Banque",,,75,"Adaptabilité, Azure"
Kyriba,2,"Assurance, Banque",,,92,"Artificial intelligence, Communication"
Publicis Groupe,2,"Communication, Internet",,,75,Git
BearingPoint France,3,Services aux Entreprises,,,92,"équipe, Reporting"
Bartle,1,Services aux Entreprises,,,75,"équipe, modélisation"
Itnovem,1,"ESN, Secteur informatique",,,93,"AWS, Azure"
Sia Partners,2,Services aux Entreprises,,,75,"Anglais, C++"
DGTL Performance,2,"ESN, Secteur informatique",,,78,"Autonomous, Azure"
Kelkoo LTD,1,"ESN, Secteur informatique",,,38,Deep Learning
Europcar Mobility Group,2,"Logistique, Transport",,,75,"Communication, Preprocessing"
AB SCIENCE,3,"ESN, Secteur informatique",,,75,"Database, Optimization"
Deezer,3,"Communication, Internet",0,,75,"Attention to Detail, Business Acumen"
BRGM,5,Service public des collectivités territoriales,0,,45,"modélisation, Python"
Sanofi,7,"Biotechn., Chimie",,,69,"Excel, Git"
Ekimetrics,6,"ESN, Secteur informatique",0,,75,"Créativité, Curiosité"
Gameloft,2,"ESN, Secteur informatique",0,,75,"Autonomous, Communication"
Numberly,4,"Communication, Internet",,,75,"Python, SQL"
Amazon,3,"Communication, Internet",0,,33,"AWS, Communication"
Lenovo France,1,"Industrie high-tech, Telecom",,,40,Git
Wewyse,2,"Communication, Internet",2,,75,Anglais
Octopus Energy,3,"ESN, Secteur informatique",,,75,"AWS, équipe"
Lacoste,1,"Commerce de gros, Distribution",,,75,
Malt,1,Services aux Entreprises,0,,75,"Attention to Detail, Communication"
Wavestone,2,Services aux Entreprises,0,,75,"équipe, Git"
Havas Group,3,"Communication, Internet",7,,92,"Excel, Bases de donnée"
Eurofins,2,"Biotechn., Chimie",,,2,"Communication, Excel"
Inria,3,"Service public autres, Service public d'état",,,13,"Collaboration, équipe"
Axereal,1,Industrie Agro-alimentaire,,,45,"Attention to Detail, Collaboration"
Fidal,1,"ESN, Secteur informatique",0,,75,"Anglais, Communication"
Nissan,1,"Industrie Auto, Meca",,,78,"Communication, Communication Skills"
Grant Thornton France,4,"ESN, Secteur informatique",0,,92,"équipe, SQL"
Pigment,1,"ESN, Secteur informatique",,,,Deep Learning
UPTOO,7,Services aux Entreprises,,56785.7142857143,13,Reporting
Partnaire,1,Services aux Entreprises,7,72500,45,"Collaboration, équipe"
Capgemini Invent,63,"ESN, Secteur informatique",1.33333333333333,,75,"équipe, Excel"
Fortuneo,1,"Assurance, Banque",,,29,"AWS, équipe"
Size Up Consulting,2,"ESN, Secteur informatique",7,,75,"équipe, Gestion de Projets"
evoteo,25,Services aux Entreprises,2.68,44380,69,"équipe, Python"
Le Télégramme,7,"Communication, Internet",1,43000,29,"équipe, Collaboration"
Astek,33,"ESN, Secteur informatique",4.33333333333333,,75,"équipe, Git"
Pixie Services France,4,"ESN, Secteur informatique",7,,59,"Bases de donnée, C++"
ACII By Audensiel,2,"ESN, Secteur informatique",1,37500,44,"équipe, modélisation"
Maestria,2,Services aux Entreprises,1,46500,6,"Azure, équipe"
Managing,2,Services aux Entreprises,,,67,"Collaboration, équipe"
Adsearch,15,Services aux Entreprises,1,54666.6666666667,44,"équipe, Optimisation"
Objectware,4,"ESN, Secteur informatique",1,,44,"équipe, SQL"
La Relève,26,"Logistique, Transport",3.33333333333333,560065.777777778,75,"équipe, Statistique"
Ekkiden,2,"ESN, Secteur informatique",,,75,"Autonome, Autonôme"
Infotel,4,"ESN, Secteur informatique",7,49000,29,"Hadoop, SQL"
FAREVA IT APPS,2,Industrie Manufacturière,7,,26,"collecte de données, équipe"
Ingeniance,2,"ESN, Secteur informatique",,,92,"AWS, Azure"
CIRIL GROUP,3,"ESN, Secteur informatique",1,,13,"Bases de donnée, équipe"
AUTOMOTIVE CELLS COMPANY - ACC,5,Industrie Manufacturière,3,,33,"Database, Project Management"
Eviden,5,"ESN, Secteur informatique",7,,33,"SQL, Anglais"
OPPBTP,2,BTP,7,,92,"Bases de donnée, Collaboration"
Acensi,2,Services aux Entreprises,7,52500,33,"équipe, Git"
Celad,5,"ESN, Secteur informatique",7,40000,92,"Python, Anglais"
Atos,6,"ESN, Secteur informatique",0.75,,33,"équipe, Français"
Norgay IT & Digital Services,6,"ESN, Secteur informatique",1,42300,44,"modélisation, équipe"
AFD.TECH,3,"ESN, Secteur informatique",5,47500,59,"Base de donnée, Python"
AXEAL,2,Services aux Entreprises,0,40500,69,"équipe, SQL"
United Solutions,2,"ESN, Secteur informatique",1,47500,69,"équipe, modélisation"
Unlck Recrutement,4,"ESN, Secteur informatique",3.5,52250,44,"équipe, SQL"
Groupagora,7,"ESN, Secteur informatique",2.66666666666667,50000,64,"équipe, Intelligence artificielle"
